,Priority,Affected Facility,Identification Source,Diagnosis_Day_Diff,Significance
839,D,ac,Engineer,5,high
840,C,ac,Maintenance,26,medium
841,B,ad,Engineer,31,medium
842,D,ac,Engineer,20,high
843,D,ae,Project Management,22,high
844,D,ad,Engineer,15,high
845,C,ac,Engineer,20,medium
846,D,ac,Engineer,12,high
847,C,ad,Engineer,31,medium
848,C,ac,Engineer,12,high
849,C,ac,Engineer,19,medium
850,D,ac,Engineer,13,high
851,C,ab,Project Management,30,medium
852,A,ac,Project Management,39,low
853,C,ae,Project Management,19,high
854,A,ab,Project Management,28,low
855,C,ac,Engineer,7,high
856,B,ac,Engineer,32,medium
857,C,ac,Maintenance,19,medium
858,C,ac,Engineer,33,medium
859,A,ab,Maintenance,33,low
860,C,ad,Project Management,10,high
861,C,ad,Maintenance,29,medium
862,B,aa,Maintenance,36,low
863,B,ac,Maintenance,17,medium
864,C,ad,Project Management,7,high
865,D,ac,Engineer,6,high
866,B,ac,Project Management,46,low
867,A,aa,Maintenance,37,low
868,C,ae,Engineer,21,high
869,C,ac,Maintenance,21,medium
870,D,ad,Project Management,10,high
871,D,ac,Project Management,3,high
872,D,ad,Engineer,3,high
873,B,ad,Engineer,27,medium
874,C,ac,Engineer,16,medium
875,D,ac,Project Management,3,high
876,D,ac,Engineer,16,high
877,A,ab,Maintenance,46,low
878,A,ab,Project Management,40,low
879,C,ae,Engineer,3,high
880,B,ad,Project Management,25,medium
881,D,ac,Project Management,10,high
882,A,ac,Project Management,51,low
883,C,ab,Maintenance,21,medium
884,C,ad,Project Management,9,high
885,B,aa,Maintenance,37,low
886,C,ae,Project Management,10,high
887,B,ac,Maintenance,22,medium
888,B,ab,Project Management,52,low
889,D,ae,Project Management,11,high
890,B,ab,Project Management,22,medium
891,D,ac,Project Management,3,high
892,B,aa,Project Management,36,low
893,A,aa,Maintenance,41,low
894,D,ae,Engineer,13,high
895,C,ab,Engineer,19,medium
896,C,ae,Engineer,13,high
897,B,ac,Project Management,51,low
898,B,ac,Engineer,23,medium
899,D,ac,Project Management,17,high
900,B,ad,Maintenance,33,medium
901,C,ae,Project Management,7,high
902,C,ac,Engineer,15,medium
903,A,ac,Maintenance,44,low
904,B,ac,Project Management,45,low
905,A,aa,Maintenance,48,low
906,B,ac,Maintenance,52,low
907,A,aa,Project Management,39,low
908,D,ac,Engineer,8,high
909,A,ac,Project Management,29,low
910,B,aa,Project Management,34,low
911,B,aa,Project Management,43,low
912,A,ac,Project Management,48,low
913,B,ac,Maintenance,52,low
914,A,ac,Project Management,52,low
915,B,ab,Maintenance,30,low
916,C,ab,Project Management,16,medium
917,B,aa,Project Management,32,low
918,B,ac,Maintenance,50,low
919,A,ab,Project Management,34,low
920,B,ac,Maintenance,47,low
921,D,ac,Project Management,4,high
922,B,ac,Maintenance,42,low
923,C,ac,Maintenance,22,medium
924,C,ac,Engineer,13,high
925,B,ac,Maintenance,38,low
926,C,ab,Project Management,24,medium
927,C,ad,Maintenance,29,medium
928,C,ac,Project Management,10,high
929,A,ab,Project Management,43,low
930,D,ac,Engineer,21,high
931,C,ad,Engineer,28,medium
932,C,ac,Engineer,32,medium
933,C,ae,Project Management,18,high
934,C,ac,Project Management,17,high
935,B,ab,Maintenance,41,low
936,A,ac,Maintenance,28,low
937,B,ab,Engineer,16,medium
938,B,ac,Project Management,43,low
939,B,aa,Maintenance,39,low
940,D,ae,Engineer,12,high
941,A,ac,Project Management,30,low
942,C,ad,Engineer,34,medium
943,B,ad,Maintenance,27,medium
944,C,ac,Maintenance,23,medium
945,A,ac,Maintenance,31,low
946,B,aa,Project Management,42,low
947,B,ab,Project Management,29,medium
948,B,ac,Project Management,31,medium
949,A,aa,Maintenance,33,low
950,B,ac,Project Management,39,low
951,B,ac,Project Management,25,medium
952,B,ac,Project Management,38,low
953,D,ac,Project Management,4,high
954,C,ac,Project Management,33,medium
955,D,ac,Engineer,15,high
956,C,ac,Engineer,28,medium
957,D,ac,Project Management,20,high
958,B,ac,Maintenance,34,medium
959,D,ae,Project Management,3,high
960,C,ac,Maintenance,32,medium
961,C,ad,Engineer,16,high
962,C,ae,Project Management,14,high
963,C,ac,Project Management,5,high
964,B,ac,Maintenance,28,low
965,C,ac,Engineer,13,high
966,B,ab,Project Management,37,low
967,A,ab,Project Management,35,low
968,D,ad,Engineer,18,high
969,D,ae,Engineer,8,high
970,D,ad,Engineer,14,high
971,A,ab,Maintenance,30,low
972,A,aa,Maintenance,32,low
973,A,ab,Project Management,51,low
974,C,ab,Engineer,28,medium
975,B,ab,Engineer,18,medium
976,D,ae,Engineer,22,high
977,A,ab,Maintenance,50,low
978,B,ac,Maintenance,43,low
979,B,ad,Project Management,17,medium
980,C,ad,Maintenance,34,medium
981,C,ac,Engineer,10,high
982,D,ae,Project Management,15,high
983,D,ae,Project Management,7,high
984,B,ac,Engineer,16,medium
985,D,ac,Project Management,8,high
986,A,ab,Project Management,28,low
987,D,ae,Project Management,10,high
988,B,ac,Maintenance,35,low
989,B,ab,Project Management,35,low
990,D,ac,Engineer,17,high
991,C,ac,Project Management,21,high
992,D,ad,Engineer,21,high
993,D,ad,Project Management,15,high
994,B,ac,Maintenance,28,medium
995,B,ab,Project Management,43,low
996,D,ae,Project Management,22,high
997,D,ac,Engineer,12,high
998,C,ae,Engineer,9,high
999,D,ac,Project Management,5,high
1000,B,ab,Engineer,27,medium
1001,B,ac,Project Management,34,low
1002,D,ae,Engineer,14,high
1003,B,aa,Maintenance,32,low
1004,D,ad,Project Management,17,high
1005,A,aa,Maintenance,31,low
1006,B,aa,Project Management,33,low
1007,B,ab,Project Management,23,medium
1008,B,ac,Maintenance,33,low
1009,C,ae,Project Management,11,high
1010,C,ad,Engineer,25,medium
1011,C,ad,Engineer,12,high
1012,D,ac,Project Management,19,high
1013,C,ad,Project Management,29,medium
1014,D,ae,Project Management,13,high
1015,B,ab,Project Management,38,low
1016,B,ab,Maintenance,32,medium
1017,A,ac,Project Management,50,low
1018,A,ab,Maintenance,34,low
1019,B,aa,Maintenance,46,low
1020,A,ac,Maintenance,50,low
1021,C,ac,Project Management,19,high
1022,C,ad,Maintenance,33,medium
1023,B,aa,Project Management,47,low
1024,C,ad,Project Management,34,medium
1025,C,ad,Maintenance,20,medium
1026,B,ab,Project Management,49,low
1027,B,ab,Maintenance,29,low
1028,A,ab,Maintenance,50,low
1029,B,ac,Maintenance,47,low
1030,B,ac,Maintenance,22,medium
1031,B,ab,Engineer,19,medium
1032,A,ab,Maintenance,38,low
1033,A,ab,Maintenance,47,low
1034,A,ab,Project Management,48,low
1035,B,ab,Engineer,35,medium
1036,D,ac,Engineer,3,high
1037,B,ac,Maintenance,31,low
1038,C,ac,Maintenance,15,medium
1039,A,ab,Project Management,31,low
1040,A,ab,Project Management,28,low
1041,B,ac,Maintenance,18,medium
1042,A,ac,Project Management,50,low
1043,A,ab,Project Management,42,low
1044,B,ac,Maintenance,50,low
1045,B,aa,Maintenance,47,low
1046,C,ac,Project Management,7,high
1047,B,ac,Project Management,19,medium
1048,B,ac,Maintenance,47,low
1049,B,ac,Project Management,27,medium
1050,A,ac,Project Management,41,low
1051,C,ac,Engineer,29,medium
1052,B,ac,Maintenance,33,medium
1053,A,aa,Project Management,50,low
1054,C,ad,Engineer,35,medium
1055,B,ac,Project Management,42,low
1056,D,ad,Project Management,12,high
1057,C,ab,Maintenance,26,medium
1058,A,ab,Project Management,49,low
1059,D,ad,Engineer,6,high
1060,C,ad,Engineer,13,high
1061,D,ae,Project Management,16,high
1062,C,ad,Engineer,11,high
1063,B,aa,Maintenance,39,low
1064,C,ae,Project Management,22,high
1065,D,ad,Project Management,21,high
1066,D,ae,Project Management,5,high
1067,C,ac,Engineer,11,high
1068,C,ac,Engineer,34,medium
1069,C,ab,Project Management,25,medium
1070,A,ab,Maintenance,43,low
1071,C,ad,Engineer,10,high
1072,C,ac,Project Management,15,medium
1073,C,ad,Project Management,18,high
1074,C,ac,Project Management,29,medium
1075,C,ae,Engineer,15,high
1076,A,aa,Project Management,31,low
1077,A,ac,Maintenance,32,low
1078,B,aa,Maintenance,45,low
1079,C,ac,Project Management,25,medium
1080,A,ac,Maintenance,33,low
1081,B,ac,Maintenance,32,low
1082,C,ac,Engineer,25,medium
1083,A,aa,Maintenance,49,low
1084,C,ac,Engineer,20,high
1085,C,ac,Project Management,15,medium
1086,B,ad,Project Management,31,medium
1087,C,ad,Project Management,10,high
1088,D,ae,Engineer,16,high
1089,C,ae,Project Management,9,high
1090,A,ac,Project Management,29,low
1091,C,ad,Maintenance,33,medium
1092,A,aa,Maintenance,51,low
1093,C,ac,Project Management,15,high
1094,C,ad,Engineer,16,high
1095,D,ac,Engineer,8,high
1096,D,ad,Project Management,19,high
1097,B,ac,Project Management,25,medium
1098,A,ab,Maintenance,29,low
1099,A,ac,Project Management,36,low
1100,C,ac,Engineer,27,medium
1101,A,ab,Project Management,42,low
1102,B,ac,Maintenance,19,medium
1103,A,aa,Maintenance,44,low
1104,D,ac,Project Management,15,high
1105,B,ab,Project Management,38,low
1106,B,ab,Project Management,33,low
1107,A,ac,Maintenance,44,low
1108,A,ab,Maintenance,48,low
1109,C,ae,Engineer,9,high
1110,C,ab,Maintenance,18,medium
1111,A,ac,Maintenance,39,low
1112,B,ac,Maintenance,41,low
1113,A,ac,Project Management,31,low
1114,C,ac,Maintenance,19,medium
1115,A,ac,Project Management,50,low
1116,C,ad,Project Management,19,medium
1117,B,ac,Engineer,18,medium
1118,C,ae,Project Management,15,high
1119,C,ac,Project Management,6,high
1120,B,ac,Project Management,30,medium
1121,B,ab,Maintenance,30,low
1122,C,ac,Engineer,5,high
1123,B,aa,Project Management,46,low
1124,B,ac,Maintenance,50,low
1125,A,aa,Maintenance,38,low
1126,C,ae,Engineer,11,high
1127,A,aa,Project Management,34,low
1128,C,ae,Project Management,9,high
1129,A,ac,Maintenance,37,low
1130,C,ae,Project Management,15,high
1131,C,ad,Maintenance,17,medium
1132,A,aa,Maintenance,29,low
1133,B,ac,Project Management,42,low
1134,C,ae,Engineer,19,high
1135,D,ad,Engineer,14,high
1136,B,ac,Project Management,30,medium
1137,B,ad,Engineer,33,medium
1138,B,ad,Maintenance,23,medium
1139,B,ab,Project Management,38,low
1140,C,ab,Project Management,31,medium
1141,A,ac,Maintenance,49,low
1142,C,ac,Engineer,12,high
1143,C,ac,Project Management,11,high
1144,A,aa,Project Management,42,low
1145,C,ab,Project Management,25,medium
1146,A,ab,Maintenance,37,low
1147,B,ab,Maintenance,52,low
1148,B,ab,Project Management,24,medium
1149,C,ae,Project Management,15,high
1150,C,ad,Maintenance,26,medium
1151,C,ad,Project Management,18,high
1152,B,ac,Maintenance,42,low
1153,C,ab,Maintenance,25,medium
1154,B,ab,Maintenance,33,medium
1155,D,ae,Engineer,11,high
1156,A,ab,Maintenance,35,low
1157,A,aa,Project Management,44,low
1158,C,ad,Project Management,34,medium
1159,C,ad,Maintenance,18,medium
1160,B,ab,Maintenance,32,low
1161,A,ac,Maintenance,50,low
1162,C,ae,Engineer,21,high
1163,C,ac,Project Management,19,high
1164,B,ad,Maintenance,19,medium
1165,B,ac,Maintenance,52,low
1166,D,ac,Engineer,18,high
1167,D,ae,Project Management,13,high
1168,D,ad,Engineer,21,high
1169,C,ac,Maintenance,23,medium
1170,A,ac,Maintenance,46,low
1171,B,aa,Project Management,40,low
1172,C,ad,Project Management,18,high
1173,D,ac,Engineer,21,high
1174,C,ac,Project Management,16,high
1175,C,ab,Engineer,34,medium
1176,C,ac,Engineer,28,medium
1177,B,aa,Project Management,44,low
1178,C,ad,Maintenance,26,medium
1179,C,ad,Project Management,19,medium
1180,C,ad,Engineer,4,high
1181,B,ab,Project Management,24,medium
1182,D,ad,Project Management,18,high
1183,C,ae,Project Management,8,high
1184,C,ac,Project Management,30,medium
1185,D,ad,Engineer,14,high
1186,C,ad,Engineer,4,high
1187,C,ad,Engineer,12,high
1188,B,ab,Engineer,27,medium
1189,C,ad,Project Management,7,high
1190,B,ab,Engineer,28,medium
1191,B,aa,Project Management,36,low
1192,A,aa,Project Management,48,low
1193,B,ad,Engineer,24,medium
1194,C,ab,Maintenance,27,medium
1195,D,ae,Engineer,18,high
1196,C,ad,Engineer,17,medium
1197,D,ad,Project Management,3,high
1198,B,ab,Project Management,30,low
1199,C,ad,Project Management,21,high
1200,D,ae,Engineer,14,high
1201,B,ad,Engineer,28,medium
1202,D,ad,Project Management,8,high
1203,B,ab,Engineer,15,medium
1204,A,aa,Maintenance,45,low
1205,D,ac,Project Management,6,high
1206,B,ab,Project Management,39,low
1207,B,ac,Maintenance,48,low
1208,B,ac,Engineer,33,medium
1209,A,aa,Project Management,51,low
1210,B,aa,Project Management,51,low
1211,B,ab,Engineer,21,medium
1212,B,ab,Maintenance,52,low
1213,B,ab,Engineer,35,medium
1214,A,aa,Maintenance,33,low
1215,A,aa,Maintenance,37,low
1216,C,ad,Project Management,15,high
1217,B,ac,Project Management,36,low
1218,C,ad,Engineer,10,high
1219,B,ab,Project Management,49,low
1220,C,ae,Engineer,8,high
1221,D,ac,Project Management,20,high
1222,B,ab,Project Management,31,medium
1223,C,ad,Project Management,15,medium
1224,D,ad,Project Management,11,high
1225,C,ab,Maintenance,19,medium
1226,C,ad,Project Management,13,high
1227,C,ae,Engineer,20,high
1228,D,ad,Engineer,17,high
1229,A,ab,Project Management,49,low
1230,A,ac,Maintenance,47,low
1231,C,ad,Engineer,10,high
1232,B,ab,Project Management,22,medium
1233,D,ae,Project Management,12,high
1234,C,ac,Engineer,16,medium
1235,B,ab,Maintenance,27,medium
1236,A,ab,Project Management,34,low
1237,C,ae,Project Management,12,high
1238,A,ab,Maintenance,45,low
1239,B,aa,Project Management,45,low
1240,B,ac,Project Management,39,low
1241,B,ac,Maintenance,41,low
1242,B,ac,Engineer,22,medium
1243,B,ac,Maintenance,29,low
1244,A,ab,Maintenance,45,low
1245,D,ad,Project Management,21,high
1246,A,aa,Maintenance,48,low
1247,C,ae,Engineer,15,high
1248,B,aa,Project Management,37,low
1249,D,ad,Project Management,20,high
1250,B,ac,Project Management,46,low
1251,C,ad,Project Management,14,high
1252,B,ab,Project Management,33,medium
1253,C,ad,Project Management,15,medium
1254,C,ab,Project Management,18,medium
1255,C,ad,Project Management,30,medium
1256,C,ad,Engineer,33,medium
1257,C,ab,Project Management,32,medium
1258,A,ab,Project Management,29,low
1259,C,ad,Engineer,19,medium
1260,B,ad,Project Management,32,medium
1261,D,ae,Project Management,9,high
1262,D,ac,Engineer,14,high
1263,A,ac,Maintenance,43,low
1264,C,ab,Maintenance,21,medium
1265,D,ae,Engineer,20,high
1266,C,ac,Engineer,18,medium
1267,D,ae,Project Management,12,high
1268,C,ad,Project Management,31,medium
1269,B,ad,Engineer,28,medium
1270,D,ad,Engineer,5,high
1271,A,ab,Project Management,33,low
1272,B,ab,Maintenance,46,low
1273,C,ac,Engineer,20,high
1274,B,ab,Maintenance,23,medium
1275,C,ac,Engineer,17,medium
1276,B,ac,Maintenance,42,low
1277,C,ae,Engineer,3,high
1278,C,ab,Maintenance,25,medium
1279,B,ab,Project Management,44,low
1280,C,ad,Engineer,16,high
1281,C,ac,Project Management,29,medium
1282,B,ab,Project Management,16,medium
1283,B,ad,Engineer,21,medium
1284,B,ad,Maintenance,31,medium
1285,C,ad,Engineer,5,high
1286,D,ad,Engineer,9,high
1287,B,ab,Project Management,43,low
1288,A,ac,Maintenance,39,low
1289,D,ad,Engineer,11,high
1290,D,ac,Project Management,22,high
1291,D,ad,Project Management,3,high
1292,C,ad,Project Management,23,medium
1293,D,ad,Project Management,13,high
1294,B,ab,Engineer,22,medium
1295,C,ad,Engineer,4,high
1296,D,ac,Engineer,19,high
1297,D,ad,Engineer,17,high
1298,C,ad,Project Management,13,high
1299,B,aa,Project Management,42,low
1300,C,ac,Project Management,35,medium
1301,C,ad,Engineer,30,medium
1302,B,aa,Project Management,41,low
1303,D,ae,Project Management,9,high
1304,C,ab,Engineer,34,medium
1305,C,ac,Maintenance,28,medium
1306,B,ac,Engineer,18,medium
1307,B,ab,Maintenance,29,low
1308,B,ac,Maintenance,30,low
1309,B,ab,Project Management,48,low
1310,B,ac,Maintenance,31,low
1311,D,ae,Engineer,13,high
1312,C,ab,Project Management,29,medium
1313,B,ac,Engineer,17,medium
1314,C,ab,Engineer,22,medium
1315,D,ac,Engineer,10,high
1316,B,ab,Maintenance,33,low
1317,B,ac,Engineer,29,medium
1318,D,ac,Project Management,12,high
1319,D,ae,Engineer,20,high
1320,A,aa,Project Management,45,low
1321,B,ad,Maintenance,34,medium
1322,B,ac,Engineer,30,medium
1323,C,ab,Project Management,34,medium
1324,D,ac,Engineer,9,high
1325,D,ac,Engineer,17,high
1326,C,ad,Project Management,13,high
1327,C,ab,Engineer,17,medium
1328,B,ac,Maintenance,50,low
1329,A,aa,Maintenance,34,low
1330,A,ac,Project Management,46,low
1331,C,ac,Maintenance,16,medium
1332,B,ac,Project Management,33,medium
1333,C,ad,Engineer,20,high
1334,C,ab,Project Management,31,medium
1335,C,ae,Engineer,8,high
1336,B,ab,Engineer,16,medium
1337,A,aa,Maintenance,39,low
1338,B,ab,Project Management,41,low
1339,C,ac,Project Management,19,high
1340,C,ae,Engineer,21,high
1341,A,ac,Project Management,45,low
1342,C,ac,Project Management,8,high
1343,B,ac,Project Management,21,medium
1344,B,ab,Maintenance,33,low
1345,C,ac,Project Management,12,high
1346,D,ae,Engineer,15,high
1347,B,ac,Maintenance,30,medium
1348,B,ad,Engineer,18,medium
1349,C,ac,Engineer,18,medium
1350,C,ab,Project Management,15,medium
1351,A,ab,Project Management,49,low
1352,B,ab,Maintenance,47,low
1353,B,ad,Project Management,26,medium
1354,B,ac,Maintenance,52,low
1355,B,aa,Maintenance,46,low
1356,C,ad,Project Management,9,high
1357,C,ab,Maintenance,34,medium
1358,A,aa,Project Management,31,low
1359,C,ae,Engineer,3,high
1360,B,aa,Project Management,31,low
1361,A,ac,Project Management,40,low
1362,B,aa,Project Management,33,low
1363,C,ad,Maintenance,30,medium
1364,B,ad,Maintenance,23,medium
1365,C,ab,Maintenance,27,medium
1366,D,ad,Engineer,9,high
1367,A,aa,Project Management,29,low
1368,D,ae,Project Management,10,high
1369,C,ad,Project Management,17,medium
1370,B,aa,Maintenance,41,low
1371,C,ab,Engineer,17,medium
1372,C,ad,Engineer,11,high
1373,A,ac,Maintenance,48,low
1374,B,ad,Maintenance,17,medium
1375,C,ab,Engineer,24,medium
1376,C,ac,Maintenance,33,medium
1377,B,ab,Project Management,17,medium
1378,D,ad,Project Management,15,high
1379,D,ac,Project Management,9,high
1380,C,ac,Engineer,35,medium
1381,C,ad,Project Management,11,high
1382,A,ab,Maintenance,30,low
1383,C,ae,Engineer,21,high
1384,B,aa,Maintenance,34,low
1385,B,ad,Engineer,35,medium
1386,C,ad,Maintenance,29,medium
1387,C,ac,Engineer,10,high
1388,C,ab,Maintenance,23,medium
1389,A,ac,Maintenance,30,low
1390,D,ac,Engineer,8,high
1391,C,ae,Engineer,12,high
1392,C,ad,Engineer,4,high
1393,C,ad,Engineer,24,medium
1394,B,ac,Project Management,32,low
1395,D,ad,Engineer,9,high
1396,B,ac,Project Management,28,low
1397,B,ab,Engineer,32,medium
1398,C,ac,Project Management,18,medium
1399,C,ad,Engineer,15,medium
1400,D,ac,Engineer,14,high
1401,B,ab,Project Management,40,low
1402,C,ad,Engineer,20,medium
1403,B,ac,Maintenance,34,low
1404,D,ad,Engineer,7,high
1405,B,ab,Maintenance,28,medium
1406,D,ac,Engineer,10,high
1407,D,ad,Project Management,6,high
1408,B,ab,Project Management,34,medium
